Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Assassin's Creed: Brotherhood,89,81,8.3,693,3.49
FIFA Soccer 2004,84,20,6.4,76,3.49
Battlefield 4,80,14,5.8,579,3.49
Batman: Arkham Asylum,92,78,8.7,1080,3.48
Battlefield 4,79,21,5.6,542,3.48
Battlefield: Bad Company 2,88,75,8.6,869,3.47
Guitar Hero: On Tour,71,70,8.8,29,3.46
Clubhouse Games,83,30,8.4,28,3.45
Borderlands,84,83,8.2,715,3.44
Tekken 4,79,23,8.3,126,3.44
Grand Theft Auto 2,70,15,8,67,3.42
Metal Gear Solid V: The Phantom Pain,93,86,8.2,3943,3.41
Spider-Man 2,80,50,8.9,106,3.41
FIFA Soccer 2003,88,15,6.7,35,3.4
LittleBigPlanet 2,91,86,8.4,657,3.39
Crash Bash,68,12,8.2,99,3.39
Assassin's Creed Syndicate,76,86,6.8,1319,3.39
LEGO Batman: The Videogame,76,49,7.9,75,3.38
Destiny,75,11,5.5,1735,3.37
Far Cry 3,90,32,8.5,1041,3.35
James Bond 007: Nightfire,77,20,8.5,66,3.33
Star Wars Episode III: Revenge of the Sith,60,34,7.2,82,3.32
The Legend of Zelda: Spirit Tracks,87,75,7.8,228,3.31
Max Payne,80,21,8.5,86,3.31
Assassin's Creed IV: Black Flag,86,35,7.9,701,3.3
The Lord of the Rings: The Return of the King,85,31,8.7,105,3.28
Gears of War: Ultimate Edition,82,74,7.5,563,3.28
True Crime: Streets of LA,77,39,8,94,3.27
Professor Layton and the Unwound Future,86,62,9.2,111,3.26
FIFA 16,84,45,4.4,459,3.25
Wii Music,63,43,4.6,116,3.25
Madden NFL 16,83,37,5.9,180,3.24
Gran Turismo 6,81,81,7.7,758,3.23
Halo: The Master Chief Collection,85,69,7.2,1267,3.23
Super Mario Maker,88,85,8.7,691,3.21
God of War: Chains of Olympus,91,79,8.6,565,3.18
Enter the Matrix,62,30,8.1,137,3.18
Crisis Core: Final Fantasy VII,83,67,8,463,3.18
Dance Central,82,63,7.6,85,3.17
L.A. Noire,89,78,7.7,1010,3.17
Ace Combat 04: Shattered Skies,89,22,9.1,95,3.17
Animal Crossing,87,42,8.9,137,3.15
FIFA Soccer 08,83,12,6.5,36,3.14
Spider-Man,87,19,9,107,3.13
Mario Party 9,73,45,6.8,155,3.13
Sonic Rush,82,43,8.5,101,3.12
Rhythm Heaven,83,48,9,63,3.11
Fallout: New Vegas,82,57,7.8,492,3.11
